Año,Mes,Total_Pasajeros
2025,Julio,4019650
2025,Agosto,3936602
2025,Septiembre,3550554
2025,Octubre,3747066
2025,Noviembre,3770727
2025,Diciembre,3933849
2026,Enero,3763300
2026,Febrero,3320640
2026,Marzo,3715538
2026,Abril,3739668
2026,Mayo,3884093
2026,Junio,3531915
2026,Julio,4027430
